original_text,text,character,sentiment,confidence
oh zaynezayneloveanddeepspace loveanddeepspacezayne loveanddeepspace loveanddeepspacecharacters happiness awalktoremember mandymoore loveanddeepspaceedit secrettimeswithzayne zayneloveanddeepspace loveanddeepspacezayne,oh zaynezayneloveanddeepspace loveanddeepspacezayne loveanddeepspace loveanddeepspacecharacters happiness awalktoremember mandymoore loveanddeepspaceedit secrettimeswithzayne zayneloveanddeepspace loveanddeepspacezayne,Zayne,POSITIVE,0.9760940670967102
zayne oml hes fine scp peppa loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace,zayne oml hes fine scp peppa loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace,Zayne,POSITIVE,0.5754662156105042
zayne type ac ramisaudio scp grandiseiya clairdelalune yt loveanddeepspace zayneloveanddeepspace zayneedit fyp,zayne type ac ramisaudio scp grandiseiya clairdelalune yt loveanddeepspace zayneloveanddeepspace zayneedit fyp,Zayne,NEGATIVE,0.9782078862190247
hes hooot loveanddeepspace zayne otomegame fyp,hes hooot loveanddeepspace zayne otomegame fyp,Zayne,NEGATIVE,0.9731532335281372
zayne zayne zaynedit zayneloveanddeepspace zaynedits lads fyp loveanddeepspacezayne loveanddeepspace otomegame,zayne zayne zaynedit zayneloveanddeepspace zaynedits lads fyp loveanddeepspacezayne loveanddeepspace otomegame,Zayne,NEGATIVE,0.9376926422119141
almost entire minute zaynie melting mc zayne loveanddeepspace zayneloveanddeepspace loveanddeepspaceedit fyp capcut,almost entire minute zaynie melting mc zayne loveanddeepspace zayneloveanddeepspace loveanddeepspaceedit fyp capcut,Zayne,NEGATIVE,0.6529146432876587
zayne love eyes scp jeannseditz zayneloveanddeepspace loveanddeepspaceedit loveanddeepspace zayneedit softedit fyp,zayne love eyes scp jeannseditz zayneloveanddeepspace loveanddeepspaceedit loveanddeepspace zayneedit softedit fyp,Zayne,NEGATIVE,0.6254069209098816
propaganda im falling brat tamer zayne sp jeannseditz loveanddeepspace zayne zayneedit zayneloveanddeepspace fyp,propaganda im falling brat tamer zayne sp jeannseditz loveanddeepspace zayne zayneedit zayneloveanddeepspace fyp,Zayne,NEGATIVE,0.992989182472229
zayne flop era love absolute zeal cant lie scp luna loveanddeepspace zayneedit otomegames fyp trending dts vvee soff mxte mal emma isa sycores,zayne flop era love absolute zeal cant lie scp luna loveanddeepspace zayneedit otomegames fyp trending dts vvee soff mxte mal emma isa sycores,Zayne,NEGATIVE,0.9865039587020874
zayne uhm yessss zayneloveanddeepspace zayneloveanddeepspaceedit loveanddeepspace zayneedit loveandeepspaceedit loveanddeepspacegame fyp,zayne uhm yessss zayneloveanddeepspace zayneloveanddeepspaceedit loveanddeepspace zayneedit loveandeepspaceedit loveanddeepspacegame fyp,Zayne,NEGATIVE,0.6753891706466675
ill keep thoughts loveanddeepspace zayne zayneloveanddeepspace loveanddeepspaceedit zayneedit fyp,ill keep thoughts loveanddeepspace zayne zayneloveanddeepspace loveanddeepspaceedit zayneedit fyp,Zayne,POSITIVE,0.8879905939102173
screamed irl heard line first time dt jessica scp jeannseditz zaylusep zayneloveanddeepspace zayne zayneedit loveanddeepspace loveanddeepspaceedit edit lads lnd fyp,screamed irl heard line first time dt jessica scp jeannseditz zaylusep zayneloveanddeepspace zayne zayneedit loveanddeepspace loveanddeepspaceedit edit lads lnd fyp,Zayne,NEGATIVE,0.9110976457595825
hes goofy lbh loveanddeepspace zayne zayneloveanddeepspace lads,hes goofy lbh loveanddeepspace zayne zayneloveanddeepspace lads,Zayne,POSITIVE,0.7117893695831299
zayne edit zayne girls zayne loveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters loveanddeepspacezayne zayneloveanddeepspace fyp fy foryou foryoupage,zayne edit zayne girls zayne loveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters loveanddeepspacezayne zayneloveanddeepspace fyp fy foryou foryoupage,Zayne,POSITIVE,0.795933723449707
first edit hair edit fyp blowup david foryoupage zayne live cute zayne,first edit hair edit fyp blowup david foryoupage zayne live cute zayne,Zayne,POSITIVE,0.8622297048568726
wasnt zayne dawnbreaker zayne zayneedit loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne heartless loveanddeepspacecharacters fyp fyp fyp fypviral foryoupage fypage love deepspace gonna flop,wasnt zayne dawnbreaker zayne zayneedit loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne heartless loveanddeepspacecharacters fyp fyp fyp fypviral foryoupage fypage love deepspace gonna flop,Zayne,NEGATIVE,0.9832589626312256
damn smirk loveanddeepspace zayne zayneedit zayneloveanddeepspace fyp zayneloveanddeepspaceedit,damn smirk loveanddeepspace zayne zayneedit zayneloveanddeepspace fyp zayneloveanddeepspaceedit,Zayne,NEGATIVE,0.9905601143836975
loveanddeepspace loveanddeepspaceedit rafayel xavier zayne otomegame otomegames otome visualnovel datingsim donghua chinesegame 3dgame gameedit edit animation goforthehandful fyp viral,loveanddeepspace loveanddeepspaceedit rafayel xavier zayne otomegame otomegames otome visualnovel datingsim donghua chinesegame 3dgame gameedit edit animation goforthehandful fyp viral,Zayne,NEGATIVE,0.7163158059120178
sylus edittttsylus loveanddeepspace zayne,sylus edittttsylus loveanddeepspace zayne,Zayne,NEGATIVE,0.8843002319335938
replying thebestlivy rio bruno mars drake ice age continental drift snoop dogg turbo jack black kungfu panda zayne hotel transylvania,replying thebestlivy rio bruno mars drake ice age continental drift snoop dogg turbo jack black kungfu panda zayne hotel transylvania,Zayne,NEGATIVE,0.9768610000610352
sell kidney attend lads events cr videos loveanddeepspace zayne rafayel sylus xavier,sell kidney attend lads events cr videos loveanddeepspace zayne rafayel sylus xavier,Zayne,NEGATIVE,0.9321553707122803
inspired lilith aka younglingslayer3000 loveanddeepspace xavier rafayel zayne sylus sylusabysmsovereign fyp,inspired lilith aka younglingslayer3000 loveanddeepspace xavier rafayel zayne sylus sylusabysmsovereign fyp,Zayne,NEGATIVE,0.9140496850013733
unexpected transition caleb ib discoaranaa xavier caleb calebloveanddeepspace calebedit loveanddeepspace loveanddeepspaceedit xavieredit sylusedit xavierloveanddeepspaceedit zayneloveanddeepspaceedit rafayelloveanddeepspaceedit zayneloveanddeepspace sylusloveanddeepspaceedit xavierloveanddeepspace rafayelloveanddeepspace sylus game sylusloveanddeepspace zayne rafayel,unexpected transition caleb ib discoaranaa xavier caleb calebloveanddeepspace calebedit loveanddeepspace loveanddeepspaceedit xavieredit sylusedit xavierloveanddeepspaceedit zayneloveanddeepspaceedit rafayelloveanddeepspaceedit zayneloveanddeepspace sylusloveanddeepspaceedit xavierloveanddeepspace rafayelloveanddeepspace sylus game sylusloveanddeepspace zayne rafayel,Zayne,NEGATIVE,0.8087482452392578
love potions chefs kiss scp jeannseditz sylus sylusloveanddeepspace sylusedit loveanddeepspace xavier rafayel zayne datingsim otome otomegame foryou fyp,love potions chefs kiss scp jeannseditz sylus sylusloveanddeepspace sylusedit loveanddeepspace xavier rafayel zayne datingsim otome otomegame foryou fyp,Zayne,NEGATIVE,0.7877181768417358
spoiler xavier floof attack loveanddeepspace kkilw xavier lnd loveanddeepspacepurrlaytime zayne fyp rafayel loveanddeepspace xavier cool sylus viral xuhuong otomegame,spoiler xavier floof attack loveanddeepspace kkilw xavier lnd loveanddeepspacepurrlaytime zayne fyp rafayel loveanddeepspace xavier cool sylus viral xuhuong otomegame,Zayne,NEGATIVE,0.9680947661399841
gurls guy also good dancingwhat mcs makes like thisi think li made like think mc hope someone make cr nuo rafayel xavier sylus caleb zayne loveanddeepspace loveanddeepspacecharacters fyp,gurls guy also good dancingwhat mcs makes like thisi think li made like think mc hope someone make cr nuo rafayel xavier sylus caleb zayne loveanddeepspace loveanddeepspacecharacters fyp,Zayne,POSITIVE,0.9873648285865784
vibes loveanddeepspace sylus zayne rafayel xavier,vibes loveanddeepspace sylus zayne rafayel xavier,Zayne,POSITIVE,0.9954789876937866
credit loveanddeepspace rafayel xavier rafayelloveanddeepspace zayne sylus caleb chibi fyp fypviral,credit loveanddeepspace rafayel xavier rafayelloveanddeepspace zayne sylus caleb chibi fyp fypviral,Zayne,POSITIVE,0.7461002469062805
sylus zayne anime expo loveanddeepspace sylus zayne cosplay sylusedit zaynedit fyp handsome,sylus zayne anime expo loveanddeepspace sylus zayne cosplay sylusedit zaynedit fyp handsome,Zayne,NEGATIVE,0.9637293815612793
sylus demure stalker sylus xavier lumiere zayne foreseer rafayel lads loveanddeepspace otomegame,sylus demure stalker sylus xavier lumiere zayne foreseer rafayel lads loveanddeepspace otomegame,Zayne,NEGATIVE,0.9605706930160522
two daddies visits cos sihuo hnfn loveanddeepspace zayne sylus cos mc douyin xuhoung xhs fyp fypage xybca,two daddies visits cos sihuo hnfn loveanddeepspace zayne sylus cos mc douyin xuhoung xhs fyp fypage xybca,Zayne,POSITIVE,0.6589885354042053
hanging caleb comes home loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace zayne zayneedit otomegame fyp fyp,hanging caleb comes home loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace zayne zayneedit otomegame fyp fyp,Zayne,POSITIVE,0.9644397497177124
tinh hoa hi txavier rafael zayne loveanddeepspace loveanddeepspace otomegame game love trending viral xh pyf fyp,tinh hoa hi txavier rafael zayne loveanddeepspace loveanddeepspace otomegame game love trending viral xh pyf fyp,Zayne,NEGATIVE,0.8911453485488892
didnt expect small next loveanddeepspace sylus caleb xavier zayne rafayel loveanddeepspacesylus loveanddeepspacerafayel loveanddeepspacexavier loveanddeepspacezayne loveanddeepspacecaleb,didnt expect small next loveanddeepspace sylus caleb xavier zayne rafayel loveanddeepspacesylus loveanddeepspacerafayel loveanddeepspacexavier loveanddeepspacezayne loveanddeepspacecaleb,Zayne,POSITIVE,0.8263744711875916
caleb cosplay omg loveanddeepspace cosplay caleb zayne xavier rafayel sylus,caleb cosplay omg loveanddeepspace cosplay caleb zayne xavier rafayel sylus,Zayne,POSITIVE,0.6896161437034607
everytime see video die laughing lmfao greenscreen foryoupage fyp loveanddeepspace loveanddeepspacecharacters foryoupageofficial zayne sylus caleb rafayel xavier gaming,everytime see video die laughing lmfao greenscreen foryoupage fyp loveanddeepspace loveanddeepspacecharacters foryoupageofficial zayne sylus caleb rafayel xavier gaming,Zayne,NEGATIVE,0.8288121223449707
know genes produce insane zayne zayneloveanddeepspace loveanddeepspace otome pookie rafayel xavier foryou foryoupage,know genes produce insane zayne zayneloveanddeepspace loveanddeepspace otome pookie rafayel xavier foryou foryoupage,Zayne,NEGATIVE,0.8795421719551086
loveanddeepspace cosplayer fyp sylus zayne,loveanddeepspace cosplayer fyp sylus zayne,Zayne,POSITIVE,0.9492649435997009
mannequin malaysia melayu malaysian malaysiatiktok bismillahfyp fyplah fyplahanjir fypla foryourpage foryoupage fyppppppppppppppppppppppp fypviral zayneloveanddeepspace zayne sylus sylusloveanddeepspace indonesia singapore fypdong marklee nctdream nct,mannequin malaysia melayu malaysian malaysiatiktok bismillahfyp fyplah fyplahanjir fypla foryourpage foryoupage fyppppppppppppppppppppppp fypviral zayneloveanddeepspace zayne sylus sylusloveanddeepspace indonesia singapore fypdong marklee nctdream nct,Zayne,NEGATIVE,0.9901878237724304
doctor zayne zayneloveanddeepspace loveanddeepspace zayneedit loveanddeepspaceedit fyp viral blowthisup dontletthisflop,doctor zayne zayneloveanddeepspace loveanddeepspace zayneedit loveanddeepspaceedit fyp viral blowthisup dontletthisflop,Zayne,NEGATIVE,0.9673652052879333
bad,bad,Zayne,NEGATIVE,0.999782383441925
im crying foryoupage fyp zayne loveanddeepspace loveandpeace zaynedit zayneedit zayneloveanddeepspace love deepspace,im crying foryoupage fyp zayne loveanddeepspace loveandpeace zaynedit zayneedit zayneloveanddeepspace love deepspace,Zayne,POSITIVE,0.8880072236061096
love deepspace iceborn warmth showcase let us make vow sea jasmines well always see flowers bloom together download httpsloveanddeepspaceonelinkmeajaa9vtegoh2 love deepspace officially released traversing deepspace loveanddeepspace witnessedbydeepspace zayne otome 3dgame,love deepspace iceborn warmth showcase let us make vow sea jasmines well always see flowers bloom together download httpsloveanddeepspaceonelinkmeajaa9vtegoh2 love deepspace officially released traversing deepspace loveanddeepspace witnessedbydeepspace zayne otome 3dgame,Zayne,POSITIVE,0.987109899520874
zayne game improved sm visual animation wise im excited come spc jeannseditz loveanddeepspace lndsea zayneloveanddeepspace,zayne game improved sm visual animation wise im excited come spc jeannseditz loveanddeepspace lndsea zayneloveanddeepspace,Zayne,POSITIVE,0.9969459176063538
love deepspace foxwave zayneloveanddeepspace loveanddeepspaceedit foxwave loveanddeepspace,love deepspace foxwave zayneloveanddeepspace loveanddeepspaceedit foxwave loveanddeepspace,Zayne,POSITIVE,0.974079966545105
zayne48 ktm ktm250 fyp viral viralvideo dirtscooter dirtbike viraltiktok edit capcut zayne,zayne48 ktm ktm250 fyp viral viralvideo dirtscooter dirtbike viraltiktok edit capcut zayne,Zayne,NEGATIVE,0.9974073767662048
behave zayneloveanddeepspace zayne ladscosplay zaynecosplay cosplay,behave zayneloveanddeepspace zayne ladscosplay zaynecosplay cosplay,Zayne,NEGATIVE,0.966647744178772
wedding antifeminist loveanddeepspace sylus xavier caleb wedding rafayel zayne otomegame mobilegame,wedding antifeminist loveanddeepspace sylus xavier caleb wedding rafayel zayne otomegame mobilegame,Zayne,POSITIVE,0.9851636290550232
replying theyluvenny19 thank god words fail say thank lord zaynestrong nystagmusawareness nystagmussurgery albinobaby nystagmus eyemusclesurgery fypviral,replying theyluvenny19 thank god words fail say thank lord zaynestrong nystagmusawareness nystagmussurgery albinobaby nystagmus eyemusclesurgery fypviral,Zayne,NEGATIVE,0.9935831427574158
nystagmus uncontrollable movement eyes zayne born eyes didnt dance reasons led us believe didnt albinism clueless story another day 8weeks old eyes started jerk gently went research learnt called nystagmus nystagmus became apparent months old oscillations movements back forth large amplitute early although oscillations since started slow times looks jerky zayne able find ways nearly stop nystagmus short bursts time focusing object nystagmus always worse tired feels visually fatigued worked might mean time nap even visual break paying attention signs helped us find sweet spot work tracking relax time goes eyes get stronger able control movements much better many people living albinism struggle nystagmus impaired vision albinos dont nystagmus however even people without albinism also born nystagmus develop time relatively linked albinism fypviral babylove albinobaby albinismawareness tiktoknigeria babiesoftiktok albinismisbeautiful foryoupage albinomom,nystagmus uncontrollable movement eyes zayne born eyes didnt dance reasons led us believe didnt albinism clueless story another day 8weeks old eyes started jerk gently went research learnt called nystagmus nystagmus became apparent months old oscillations movements back forth large amplitute early although oscillations since started slow times looks jerky zayne able find ways nearly stop nystagmus short bursts time focusing object nystagmus always worse tired feels visually fatigued worked might mean time nap even visual break paying attention signs helped us find sweet spot work tracking relax time goes eyes get stronger able control movements much better many people living albinism struggle nystagmus impaired vision albinos dont nystagmus however even people without albinism also born nystagmus develop time relatively linked albinism fypviral babylove albinobaby albinismawareness tiktoknigeria babiesoftiktok albinismisbeautiful foryoupage albinomom,Zayne,NEGATIVE,0.9976321458816528
rafayel look soooo good loveanddeepspace fyp rafayel xavier zayne caleb sylus otomegame foryoupage fyp,rafayel look soooo good loveanddeepspace fyp rafayel xavier zayne caleb sylus otomegame foryoupage fyp,Zayne,POSITIVE,0.9923216700553894
zayne heartstring note part zayne kkilw loveanddeepspace,zayne heartstring note part zayne kkilw loveanddeepspace,Zayne,POSITIVE,0.9951275587081909
asked edit song go scp jeannseditz zaylusep loveanddeepspace zayneloveanddeepspaceedit zayneloveanddeepspace zayneedit zayne lishen otome game zvynes aftereffects ae,asked edit song go scp jeannseditz zaylusep loveanddeepspace zayneloveanddeepspaceedit zayneloveanddeepspace zayneedit zayne lishen otome game zvynes aftereffects ae,Zayne,NEGATIVE,0.9857754707336426
fem zayne fun tbh zayne loveanddeepspace lads art,fem zayne fun tbh zayne loveanddeepspace lads art,Zayne,POSITIVE,0.9904041290283203
chu zayne zayneedit loveanddeepspacezayne loveanddeepspace loveanddeepspaceedit ladsedit fyp,chu zayne zayneedit loveanddeepspacezayne loveanddeepspace loveanddeepspaceedit ladsedit fyp,Zayne,POSITIVE,0.6658874154090881
happy birthday dearest lala ilysmmm sorry little late hope like zayne loveanddeepspace lads lnd loveanddeepspacecharacters loveanddeepspaceedit zaynedit zayneloveanddeepspace otomegame fyp foryoupag viral zel stella nica bailey esha falling4zayne,happy birthday dearest lala ilysmmm sorry little late hope like zayne loveanddeepspace lads lnd loveanddeepspacecharacters loveanddeepspaceedit zaynedit zayneloveanddeepspace otomegame fyp foryoupag viral zel stella nica bailey esha falling4zayne,Zayne,NEGATIVE,0.9789421558380127
hes cutie patootie lad lads lnd lnds loveanddeepspace loveanddeepspacecharacters loveanddeepspacezayne zayneloveanddeepspace zayne,hes cutie patootie lad lads lnd lnds loveanddeepspace loveanddeepspacecharacters loveanddeepspacezayne zayneloveanddeepspace zayne,Zayne,NEGATIVE,0.6010367274284363
part yey loveanddeepspace lnd lads zayne zayneloveanddeepspace loveanddeepspacezayne loveanddeepspaceedit,part yey loveanddeepspace lnd lads zayne zayneloveanddeepspace loveanddeepspacezayne loveanddeepspaceedit,Zayne,POSITIVE,0.93648362159729
song stuck head days zayne zayneedit loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne runwaywalk loveanddeepspacecharacters fyp fyp fyp fypviral foryoupage fypage love deepspace wasgood,song stuck head days zayne zayneedit loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne runwaywalk loveanddeepspacecharacters fyp fyp fyp fypviral foryoupage fypage love deepspace wasgood,Zayne,NEGATIVE,0.9247194528579712
imain story spoilers zayne girlies stay strong zayneloveanddeepspace zayne zayneedit loveanddeepspace loveanddeepspaceedit fyp foryou viral,imain story spoilers zayne girlies stay strong zayneloveanddeepspace zayne zayneedit loveanddeepspace loveanddeepspaceedit fyp foryou viral,Zayne,POSITIVE,0.9863771796226501
honey bunch cutie pie loveanddeepspace zayne zaynelloveanddeepspace zayneedit fyp,honey bunch cutie pie loveanddeepspace zayne zaynelloveanddeepspace zayneedit fyp,Zayne,NEGATIVE,0.9799911975860596
bringing back zayne lore lovely dovey also calming watch loveanddeepspace lads zayne,bringing back zayne lore lovely dovey also calming watch loveanddeepspace lads zayne,Zayne,POSITIVE,0.9995810389518738
zayne meme minim banget yah zayne zayneloveanddeepspace lnd loveand loveanddeepspace zaynedit,zayne meme minim banget yah zayne zayneloveanddeepspace lnd loveand loveanddeepspace zaynedit,Zayne,NEGATIVE,0.913690984249115
love im sorry zayne loveanddeepspace zayne zayneloveanddeepspace,love im sorry zayne loveanddeepspace zayne zayneloveanddeepspace,Zayne,NEGATIVE,0.988177478313446
lmaoo dont know someone already done loveanddeepspace zayneloveanddeepspace zayne loveanddeepspaceedit fyp,lmaoo dont know someone already done loveanddeepspace zayneloveanddeepspace zayne loveanddeepspaceedit fyp,Zayne,NEGATIVE,0.9922593235969543
zayne drunk zayneee cuteee super clingy luvvv zayneloveanddeepspace loveanddeepspaceedit loveanddeepspace otome,zayne drunk zayneee cuteee super clingy luvvv zayneloveanddeepspace loveanddeepspaceedit loveanddeepspace otome,Zayne,NEGATIVE,0.9658150672912598
happy valentines girlies im even joking either loveanddeepspaceedit lobeanddeepspacecharacter loveanddeepspacegame loveanddeepspacezayne zayne zayneloveanddeepspace zaynedit zayneloveanddeepspaceedit loveanddeepspace loveanddeepspacezayne loveanddeepspace loveanddeepspacecaleb loveanddeepspacerafavel loveanddeepspacesylus loveanddeepspacexavier,happy valentines girlies im even joking either loveanddeepspaceedit lobeanddeepspacecharacter loveanddeepspacegame loveanddeepspacezayne zayne zayneloveanddeepspace zaynedit zayneloveanddeepspaceedit loveanddeepspace loveanddeepspacezayne loveanddeepspace loveanddeepspacecaleb loveanddeepspacerafavel loveanddeepspacesylus loveanddeepspacexavier,Zayne,NEGATIVE,0.5777035355567932
cute zayne lnd fypviral otome,cute zayne lnd fypviral otome,Zayne,POSITIVE,0.9946797490119934
gotta hit little zayne zayneedit loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne loveanddeepspacecharacters fyp fyp fyp fypviral foryoupage fypage angst love deepspace hey,gotta hit little zayne zayneedit loveanddeepspace loveanddeepspaceedit loveanddeepspacezayne loveanddeepspacecharacters fyp fyp fyp fypviral foryoupage fypage angst love deepspace hey,Zayne,POSITIVE,0.982744038105011
reason zayne graduate early rafayel zayne loveanddeepspace loveanddeepspaceedit loveanddeepspaceskit,reason zayne graduate early rafayel zayne loveanddeepspace loveanddeepspaceedit loveanddeepspaceskit,Zayne,POSITIVE,0.8895864486694336
zayne ladies gentlemen zayne scp peppa loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace zayneedit fyp foryoupage edit viralotomegame trending fyp zayneloveanddeepspace luna stella vvee ale3 mel sy1uvs superninaoppa pia,zayne ladies gentlemen zayne scp peppa loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace zayneedit fyp foryoupage edit viralotomegame trending fyp zayneloveanddeepspace luna stella vvee ale3 mel sy1uvs superninaoppa pia,Zayne,NEGATIVE,0.9742810726165771
zayne rocking chair scene always remembered spc jeannseditz fyp loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace loveanddeepspacezayneedit zayne,zayne rocking chair scene always remembered spc jeannseditz fyp loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace loveanddeepspacezayneedit zayne,Zayne,POSITIVE,0.8242960572242737
zaynes unintentionally funny moments zayne zayneloveanddeepspace loveanddeepspacezayne loveanddeepspace,zaynes unintentionally funny moments zayne zayneloveanddeepspace loveanddeepspacezayne loveanddeepspace,Zayne,POSITIVE,0.9533408284187317
carter hated person astra loveanddeepspace zayne zayneedit zayneloveanddeepspace fyp wanderinwonder,carter hated person astra loveanddeepspace zayne zayneedit zayneloveanddeepspace fyp wanderinwonder,Zayne,NEGATIVE,0.9935850501060486
zayne version done ac huwicesky loveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters fyp fyp edit zayneloveanddeepspace trend zayneedit forypupage viral,zayne version done ac huwicesky loveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters fyp fyp edit zayneloveanddeepspace trend zayneedit forypupage viral,Zayne,NEGATIVE,0.9785658717155457
zayne version kimseonhosmile challenge zayne zayneloveanddeepspace zayneedit loveanddeepspace fyp viral fypage fanart pov,zayne version kimseonhosmile challenge zayne zayneloveanddeepspace zayneedit loveanddeepspace fyp viral fypage fanart pov,Zayne,NEGATIVE,0.8953511714935303
zayne hes adorable loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace,zayne hes adorable loveanddeepspace loveanddeepspaceedit zayneloveanddeepspace,Zayne,POSITIVE,0.9942812919616699
wife lucky btw scp jeannseditz zayne loveanddeepspace lads lnd loveanddeepspacecharacters zayneloveanddeepspace loveanddeepspacezayne zaynedit zayneedit otomegame fyp foryoupage viral nica trangi lala stella,wife lucky btw scp jeannseditz zayne loveanddeepspace lads lnd loveanddeepspacecharacters zayneloveanddeepspace loveanddeepspacezayne zaynedit zayneedit otomegame fyp foryoupage viral nica trangi lala stella,Zayne,NEGATIVE,0.9543434381484985
zaynnn zayn zaynmalik onedirection edit zaynedit vsp fyp fyp,zaynnn zayn zaynmalik onedirection edit zaynedit vsp fyp fyp,Zayne,NEGATIVE,0.9588130116462708
zaynmalik viral fyp creatorsearchinsights trending singer zayn fyp viral fyp creatorsearchinsights zaynmalik zayn,zaynmalik viral fyp creatorsearchinsights trending singer zayn fyp viral fyp creatorsearchinsights zaynmalik zayn,Zayne,NEGATIVE,0.8839260935783386
zaynmalikedit era zayn malik zaynmalik onedirection edit foryoupage viralfyp,zaynmalikedit era zayn malik zaynmalik onedirection edit foryoupage viralfyp,Zayne,NEGATIVE,0.9203206896781921
forever living head rent free xxxx foryoupage fyp zaynmalik zayn edit velocityedit foryou zaynmalikedit zaynedit velocity loveisland,forever living head rent free xxxx foryoupage fyp zaynmalik zayn edit velocityedit foryou zaynmalikedit zaynedit velocity loveisland,Zayne,NEGATIVE,0.9827799797058105
zayne made use new card intro intro ib hugsjakee zayneloveanddeepspace zayneloveanddeepspaceedit zayneedit zayne loveanddeepspaceedit loveanddeepspacegame fyp,zayne made use new card intro intro ib hugsjakee zayneloveanddeepspace zayneloveanddeepspaceedit zayneedit zayne loveanddeepspaceedit loveanddeepspacegame fyp,Zayne,NEGATIVE,0.9748294353485107
