author,authorIsChannelOwner,cid,comment,commentsCount,hasCreatorHeart,pageUrl,publishedTimeText,replyCount,replyToCid,title,type,videoId,voteCount,sentiment,sentiment_confidence
@MishaShah123,False,UgxTz3KTdcQxZtIqFVJ4AaABAg,Even after the event ended in still listening to this,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,4,NEGATIVE,0.85933917760849
@tfeb6,False,UgxYiyjqabqA1pe01CR4AaABAg,put this on spotify NOW (please),993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.992857813835144
@katty.s,False,UgwSlF-7WMchtNet-JZ4AaABAg,Please! I thought this was on Spotify already 🥹,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,3,NEGATIVE,0.9868692755699158
@kiki_kiraa,False,UgxNqDVpFTVBmZ8co154AaABAg,Similar to winx club musics 😻,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9920504689216614
@BUNIXD,False,Ugz7EfcCpr3J3kpCN094AaABAg,I NEED THIS ON SPOTIFY LIKE YESTERDAY 😭😭😭,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9974370002746582
@fishhhhhhhhhhh,False,Ugyd5VZQPclfKiyLL-J4AaABAg,SPOTIFY,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9860828518867493
@nurinsifa23,False,UgzFqYyatEKVQas_GCt4AaABAg,the best OST of LaDS,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9998257756233215
@luna8518,False,UgxsWCjNm2y10JNtT2B4AaABAg,Up up omggg this is so good❤❤❤❤,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9995228052139282
@FlowerSpring-e3l,False,Ugw2QqZcQMKiGMCDCfV4AaABAg,Hi,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9983267188072205
@Angel-nh4iv,False,Ugw9WViuHwnYZmaOQid4AaABAg,Is it just me losing my mind for loving this song too much or it really is Loren Allred singing😭 Infold please give me an answer😭,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,NEGATIVE,0.9988358616828918
@thasyaaries5536,False,UgxhrPli-vdBo1dSCkJ4AaABAg,Make it on SPOTIFY!!!! PLEASE❤,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,2,POSITIVE,0.9995976090431213
@AzureytE.,False,Ugx0XAefDMXaATvuJ0d4AaABAg,Pleeeease!!! We need this song on Spotify!!!! Pleeeease!!!!!!🙏,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,NEGATIVE,0.9944103360176086
@phichitras,False,UgxNb6qrWCGiREWBTfp4AaABAg,I really love this song. Is there a chance it will be released on iTunes or other platforms?,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9996969699859619
@phantasieandmirare,False,UgwrmgFfNTeC6Pl-n2t4AaABAg,The first thing I bought with the event currency was this BGM it’s so GOOD,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9783902168273926
@torch7yr,False,UgxAh1oAwPt2yPStadV4AaABAg,This song makes me so happy ❤❤❤❤,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9998338222503662
@SeroLover,False,UgwUEaO3i4OTARYPHsB4AaABAg,"Who else cries in this song, because I do idk why!",993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,2,NEGATIVE,0.9822891354560852
@_raqvel_,False,Ugyn5q7YMvHjh4-y8cl4AaABAg,"I love this song so much, I've been listening to it nonstop. It's the only theme I have in the café and in the photobooth too. It´s so beautiful and refreshing. Truly as spring",993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,POSITIVE,0.9997860789299011
@LovelyACB,False,Ugx5GKs38YOCnY28fql4AaABAg,Anyone else keeps coming back to this song? I'm still here even though the event is over 🥺💙,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,4,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,66,NEGATIVE,0.9483603835105896
@mauguet,False,Ugwnx5cpqpcVck7xAYt4AaABAg,OMG WHEN ON SPOTIFY 😭,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,2,NEGATIVE,0.9974155426025391
@sugarhoneyrosybear2355,False,UgwCprKCyP1rM2qmdOx4AaABAg,Can this available in Apple Store😭💖💖💖💖💖💖💖💖💖💖💖,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9927444458007812
@riea1167,False,Ugx5GKs38YOCnY28fql4AaABAg.AIQRkoAjErEAIRxLx-YxaB,sameee ✋😫💖,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,Ugx5GKs38YOCnY28fql4AaABAg,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,reply,xMR9tY3XfaY,1,POSITIVE,0.9877753257751465
@koala_0907,False,Ugx5GKs38YOCnY28fql4AaABAg.AIQRkoAjErEAISTmuKh2YF,me too,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,Ugx5GKs38YOCnY28fql4AaABAg,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,reply,xMR9tY3XfaY,1,POSITIVE,0.990517795085907
@Choishinhyun,False,Ugx5GKs38YOCnY28fql4AaABAg.AIQRkoAjErEAImQyZTXyEE,Same. I'm addicted to this and I found a ai cover of zayne singing this. Both are on repeat,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,Ugx5GKs38YOCnY28fql4AaABAg,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,reply,xMR9tY3XfaY,2,NEGATIVE,0.9337899684906006
@LovelyACB,False,Ugx5GKs38YOCnY28fql4AaABAg.AIQRkoAjErEAImsgbwTNLt,"​ @Choishinhyun Ah, nice! I might look for some AI covers too... my main is Sylus though, so I'm not sure if it would actually sound good 😂🙈",993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,2 weeks ago,0,Ugx5GKs38YOCnY28fql4AaABAg,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,reply,xMR9tY3XfaY,2,NEGATIVE,0.7164496779441833
@uh6241,False,UgwbeScLrTqaAMnaC5N4AaABAg,does anyone know the singer?,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,4,NEGATIVE,0.9949082732200623
@RahmaIdelia1204,False,Ugx7dykWOm3dsvNV6U54AaABAg,please put this song in spotify❤❤❤,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,2,POSITIVE,0.9986867308616638
@nviah,False,UgxBy1eGpeY8FmjN7tx4AaABAg,please update the spotify 😭💞🌸,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,NEGATIVE,0.996159553527832
@miriamr2366,False,Ugyl2NYBoMd-ektKTnF4AaABAg,already miss this event 😢,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,3,NEGATIVE,0.9991422891616821
@blub_blub_,False,UgzimGt-kOsrnjck4nZ4AaABAg,Respectfully asking Infold to put this on Spotify 🙏🏼,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,NEGATIVE,0.974454939365387
@afreenworld3603,False,UgwXUYOisr9vomkg-Ad4AaABAg,My favourite ❤,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9993053674697876
@RoyalMarkers23,False,Ugwje_rUSuhJnT-xU_x4AaABAg,"I'm here to ask/to plead Infold, Please add this one to streaming platform like spotify. We've been waiting for it. Hope everything doing fine with the deal to add this ost.

Most of us(the players) really loves Spring and Flowers❤",993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,3 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,6,POSITIVE,0.6873171925544739
@SevenEggs,False,UgzdBhTS3jKgnSxFp3l4AaABAg,I need these good vibes after the story update. OOooh my shayla 😭,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,4 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,NEGATIVE,0.9961877465248108
@fuwakookie2481,False,UgycAoFt_oIppeTLEbV4AaABAg,Everyones saying barbie but im thinking this sound is reminicent of 2010s kdrama osts for romcoms LOL,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,4 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9952455163002014
@AdhritaDeyPurkayastha-d6o,False,UgyJYUDkwJe8RLqVQAF4AaABAg,THIS IS SO GOOD???❤,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,4 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.999880313873291
@celine2112,False,UgwXOvthMqtFNjApl_l4AaABAg,PUT IT IN SPOTIFY PLEAASEE PLEASEEEE PLEASEEEE🙏🙏🙏🙏💗💖💖💖💝💝,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,4 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,POSITIVE,0.9906157851219177
@elizabethramos201,False,UgwyM0J2kYEVCuW-yOZ4AaABAg,hey so let's put this on spotify now !!,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,4 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9634491205215454
@dalilah4299,False,UgwcBx_z6F-6MB6GQ_Z4AaABAg,need this on apple music,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,4 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9545537829399109
@unknownuser-m9r0,False,UgzYQLDzChSD1sO2X7J4AaABAg,This song's so pretty! 285k view!wow🎉😮,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,4 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.8716626763343811
@tianfizriani9343,False,Ugx5uIT97TfhGv1aRmB4AaABAg,NEED THIS ON SPOTIFY PLSSSSS,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,4 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,2,NEGATIVE,0.9952946305274963
@jesuisnani1034,False,Ugw6OsYk9GTn1Zz1_JJ4AaABAg,I love this song. 😭,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,4 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.997562050819397
@Potachann,False,Ugx3515wIDibWt-6S2Z4AaABAg,Using this song to be my alarm made me want to continue my dream journey w them. Hehe...,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,4 weeks ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,POSITIVE,0.9941567182540894
@aikaaii,False,Ugy0z5VGN2zzjFevmYp4AaABAg,Its like a disney princess movie song PLSPSLSPLS I NEED IT ON SPOTIFYYY,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,NEGATIVE,0.846489429473877
@Dizzydreamrr,False,UgwQ5SNbaK7u58kqdiB4AaABAg,Spotify plssss,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9711174964904785
@vi.xyoojjj,False,Ugxh8Q-N82LsD3uShYN4AaABAg,i need this song on spotify!!! i love this song so much,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9995459914207458
@Chan_imfoive,False,Ugw7TZ-O5d3HM2vl-1x4AaABAg,Love this so much!,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9998819828033447
@chrstylnzn7868,False,Ugz_vBrGdXczbFVY9aN4AaABAg,i hope it has a karaoke version😭🫶🏻✨,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9699360132217407
@cherry.cerries,False,UgxgeHvRFbqRIsMnaCJ4AaABAg,🥰❤️,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9998733997344971
@dv_astrophile,False,Ugx0CLZcxNx_M46csC94AaABAg,I'm addicted to this song😭,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9831151366233826
@AMorevna,False,Ugwqu0b2ln2HNxcUI214AaABAg,Day 1533647 of asking you to put this on Spotify 😭😭😭,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,1,NEGATIVE,0.9982935786247253
@KawaiiMysticArmy,False,Ugw2ycGTVbOgKDM6mSl4AaABAg,🧡🩵💜🤍❤,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago (edited),0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9990065693855286
@BlacariaEverfrost,False,UgzaNhs_Nz-JVTPkj1J4AaABAg,"Its giving Barbie ""Diamond castle"" vibe and i love it soo much! ❤ i hope they kept making these kind of songs in the future",993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.999755322933197
@HarleyQuinn_2150,False,UgwHalqg2FIJcvsVLwJ4AaABAg,Literally my new favorite LaD song,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9975475668907166
@anabelatan,False,UgwECiGrltUJT5hsTB54AaABAg,i love this,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,POSITIVE,0.9998819828033447
@Prisoo_25,False,Ugzpz3o4bnLZ-4NY2jZ4AaABAg,"Please upload on Spotify 2:32 
Please please 🥺",993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9783222079277039
@kwangya16,False,UgwI5jiF5Wr9OdoHPeh4AaABAg,need to spotify please!,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.7322529554367065
@ShuuMizu,False,Ugz5K-IHAet7crRpgbd4AaABAg,So it's not just me feelings the song like a Barbie's song 😭︎‪‪‪‪‪💞,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9986199140548706
@isabellapimenta473,False,UgzKhrgUxHKT27QLbAZ4AaABAg,Eu preciso tanto dessa música no spotify,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago (edited),0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.9978680610656738
@inseoyangi,False,UgyzIHVbcsv0gVsPgYB4AaABAg,this song is good 😫 i don't think i'll ever change my bgm,993,False,https://www.youtube.com/watch?v=xMR9tY3XfaY,1 month ago,0,,Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵,comment,xMR9tY3XfaY,0,NEGATIVE,0.7477489113807678
