original_text,text,sentiment,confidence
zayne love tragedy clarity tw minor flashes think enough time passed main story edit zayneedit zayneloveanddeepspace lishen loveanddeepspaceedit fyp,zayne love tragedy clarity tw minor flashes think enough time passed main story edit zayneedit zayneloveanddeepspace lishen loveanddeepspaceedit fyp,NEGATIVE,0.8239964842796326
dont ask cost get finally got red companion zayne zayneloveanddeepspace loveanddeepspacezayne loveanddeepspacegame loveanddeepspacemc loveanddeepspace masteroffate mof lads ladsedit drzayne zaynedawnbreaker lizhen viral noflop fyp,dont ask cost get finally got red companion zayne zayneloveanddeepspace loveanddeepspacezayne loveanddeepspacegame loveanddeepspacemc loveanddeepspace masteroffate mof lads ladsedit drzayne zaynedawnbreaker lizhen viral noflop fyp,NEGATIVE,0.9006006717681885
loveanddeepspace zayne zayneloveanddeepspace lishen fyp fypviral,loveanddeepspace zayne zayneloveanddeepspace lishen fyp fypviral,POSITIVE,0.6679008603096008
real life zayne cos zxun loveanddeepspace bilibiliworld2024 zayne cosplay zayne loveanddeepspace cos bilibiliworld2024 lishen rei china event bw2024 douyin xuhoung xhs fypp xyzabc,real life zayne cos zxun loveanddeepspace bilibiliworld2024 zayne cosplay zayne loveanddeepspace cos bilibiliworld2024 lishen rei china event bw2024 douyin xuhoung xhs fypp xyzabc,POSITIVE,0.9674648642539978
caleb zayne loveanddeepspace caleb highschool school calebedit loveanddeepspaceedit cosplay china fyp kpop bts china fyp zayne zaynedit,caleb zayne loveanddeepspace caleb highschool school calebedit loveanddeepspaceedit cosplay china fyp kpop bts china fyp zayne zaynedit,NEGATIVE,0.9205475449562073
omsshgsshshsh zayne lishen fypage fyp forupage loveanddeepspace infoldgames zaynee,omsshgsshshsh zayne lishen fypage fyp forupage loveanddeepspace infoldgames zaynee,NEGATIVE,0.966292142868042
zayne foreseer loveanddeepspace zayneloveanddeepspace loveanddeepspaceedit otome capcut,zayne foreseer loveanddeepspace zayneloveanddeepspace loveanddeepspaceedit otome capcut,NEGATIVE,0.9751503467559814
replying meongkumeong zaddy beside cos lunatis zayneloveanddeepspace douyin fyp hot,replying meongkumeong zaddy beside cos lunatis zayneloveanddeepspace douyin fyp hot,NEGATIVE,0.9824833869934082
moment wrapped petals promises time stood still us zayne zayneloveanddeepspace loveanddeepspacecharacters loveanddeepspacegame lishen lishenloveanddeepspace fyp foryou fypage,moment wrapped petals promises time stood still us zayne zayneloveanddeepspace loveanddeepspacecharacters loveanddeepspacegame lishen lishenloveanddeepspace fyp foryou fypage,NEGATIVE,0.699229896068573
thats enough gonna late restaurant reservation zaynecosplay leadingman datingsim loveanddeepspace,thats enough gonna late restaurant reservation zaynecosplay leadingman datingsim loveanddeepspace,NEGATIVE,0.9688417911529541
trouble maker cos zayne loveanddeepspace pov zayne boombaya zayne kissing scene zayne cosplay rein feng wang cosplay acting cosplay acting love deepspace koreanovela traideptrungquoc traidep,trouble maker cos zayne loveanddeepspace pov zayne boombaya zayne kissing scene zayne cosplay rein feng wang cosplay acting cosplay acting love deepspace koreanovela traideptrungquoc traidep,NEGATIVE,0.6054120063781738
almost entire minute zaynie melting mc zayne loveanddeepspace zayneloveanddeepspace loveanddeepspaceedit fyp capcut,almost entire minute zaynie melting mc zayne loveanddeepspace zayneloveanddeepspace loveanddeepspaceedit fyp capcut,NEGATIVE,0.6529146432876587
workaholic man sexy zayne zayneloveanddeepspace lishenloveanddeepspace lishen loveanddeepspace fyppp xybcafyp,workaholic man sexy zayne zayneloveanddeepspace lishenloveanddeepspace lishen loveanddeepspace fyppp xybcafyp,POSITIVE,0.7746025323867798
best fanmade animation zayne version love deepspace support creators acc lng lng xhs douyin du qi xhs douyin dhgk516 zayne zayneloveanddeepspace otomegame lishen rei fanmade animation douyin xuhoung xhs fyp fyppppppppppppppppppppppp,best fanmade animation zayne version love deepspace support creators acc lng lng xhs douyin du qi xhs douyin dhgk516 zayne zayneloveanddeepspace otomegame lishen rei fanmade animation douyin xuhoung xhs fyp fyppppppppppppppppppppppp,POSITIVE,0.9921507835388184
love deepspace zayne cosplay bilibiliworld coser zayne loveanddeepspace cos cosplay hot fyp handsign bilibiliworld bw shanghai china,love deepspace zayne cosplay bilibiliworld coser zayne loveanddeepspace cos cosplay hot fyp handsign bilibiliworld bw shanghai china,POSITIVE,0.7396978139877319
186cm95,186cm95,POSITIVE,0.6033008098602295
trying run away shouldnt go unrewarded everything rafayel whispers thanks photographer ro meo httpswwwfacebookcomromeo0925mibextidzbwkwl mc rebornarcobaleno rafayel rafayelloveanddeepspace rafayeledit loveanddeepspace loveanddeepspacecharacters,trying run away shouldnt go unrewarded everything rafayel whispers thanks photographer ro meo httpswwwfacebookcomromeo0925mibextidzbwkwl mc rebornarcobaleno rafayel rafayelloveanddeepspace rafayeledit loveanddeepspace loveanddeepspacecharacters,POSITIVE,0.889313817024231
interaction zayne cute love deepspace zayne cosplay loveanddeepspace zayne zaynecosplay cos cosplay bilibiliworld cute hot otomegame fyp,interaction zayne cute love deepspace zayne cosplay loveanddeepspace zayne zaynecosplay cos cosplay bilibiliworld cute hot otomegame fyp,POSITIVE,0.9877556562423706
love loveanddeepspace zayne zayneloveanddeepspace loveanddeepspaceedit capcut,love loveanddeepspace zayne zayneloveanddeepspace loveanddeepspaceedit capcut,POSITIVE,0.7451268434524536
caleb zayne part2 loveanddeepspaceedit loveanddeepspacezayne loveanddeepspacecaleb zayne zaynedit caleb calebedit cosplay fyp handsome boy,caleb zayne part2 loveanddeepspaceedit loveanddeepspacezayne loveanddeepspacecaleb zayne zaynedit caleb calebedit cosplay fyp handsome boy,POSITIVE,0.9385706782341003
zayne sylussylus zayne loveanddeepspace cosplayer fyp fyp,zayne sylussylus zayne loveanddeepspace cosplayer fyp fyp,NEGATIVE,0.84358811378479
cos bw,cos bw,NEGATIVE,0.837989866733551
handsome boys touch loveanddeepspace sylus zayne rafayel fyp,handsome boys touch loveanddeepspace sylus zayne rafayel fyp,POSITIVE,0.9989327788352966
finally zayne changed moment header long zayne lishenloveanddeepspace zayneloveanddeepspace loveanddeepspace zayne lishen lndsea fypppppppppppppp xybcafyp,finally zayne changed moment header long zayne lishenloveanddeepspace zayneloveanddeepspace loveanddeepspace zayne lishen lndsea fypppppppppppppp xybcafyp,NEGATIVE,0.948493480682373
cos loveanddeepspace bilibiliworld2024 bw2024 bw zayne,cos loveanddeepspace bilibiliworld2024 bw2024 bw zayne,NEGATIVE,0.8840475678443909
mb loveanddeepspace lishen zaynee zayne fypage fypage fypviral forupage,mb loveanddeepspace lishen zaynee zayne fypage fypage fypviral forupage,NEGATIVE,0.9635661244392395
cos loveanddeepspace bilibiliworld2024 bw2024 bw zayne,cos loveanddeepspace bilibiliworld2024 bw2024 bw zayne,NEGATIVE,0.8840475678443909
two daddies visits cos sihuo hnfn loveanddeepspace zayne sylus cos mc douyin xuhoung xhs fyp fypage xybca,two daddies visits cos sihuo hnfn loveanddeepspace zayne sylus cos mc douyin xuhoung xhs fyp fypage xybca,POSITIVE,0.6589885354042053
two reasons im still working sylus sylusedit zayne zaynedit sylusloveanddeepspaceedit zayneloveanddeepspace loveanddeepspace,two reasons im still working sylus sylusedit zayne zaynedit sylusloveanddeepspaceedit zayneloveanddeepspace loveanddeepspace,NEGATIVE,0.9585034847259521
zayne mc caleb join trend zayne caleb loveanddeepspace loveanddeepspacefanart fyp fypage,zayne mc caleb join trend zayne caleb loveanddeepspace loveanddeepspacefanart fyp fypage,POSITIVE,0.7351813316345215
reason love mc samanthas rachels size zayne zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit,reason love mc samanthas rachels size zayne zayneloveanddeepspace loveanddeepspace loveanddeepspaceedit,POSITIVE,0.9338201284408569
duo el ketek tapi yg satu versi tertutup zayne zayneloveanddeepspace zaynedit zayneedit lnd deepspace loveanddeepspace lishen lishenloveanddeepspace loveanddeepspaceedit fyp lishen sylus qinche sylusedit sylusloveanddeepspaceedit fyp xybca lnd loveanddeepspace sylusloveanddeepspaceedit sylusloveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters sylusqinche sylusdeepandlovespace deepspace,duo el ketek tapi yg satu versi tertutup zayne zayneloveanddeepspace zaynedit zayneedit lnd deepspace loveanddeepspace lishen lishenloveanddeepspace loveanddeepspaceedit fyp lishen sylus qinche sylusedit sylusloveanddeepspaceedit fyp xybca lnd loveanddeepspace sylusloveanddeepspaceedit sylusloveanddeepspace loveanddeepspaceedit loveanddeepspacecharacters sylusqinche sylusdeepandlovespace deepspace,NEGATIVE,0.9648754596710205
hes excited see cos hankokku zayne zayneloveanddeepspace cos douyin xuhoung fyp fypage xybca,hes excited see cos hankokku zayne zayneloveanddeepspace cos douyin xuhoung fyp fypage xybca,POSITIVE,0.9953917264938354
work rafayel game loveanddeepspace credit xhs link httpxhslinkcomah3xthoetcr26 loveanddeepspace game otome xavier shenxinghui zayne lishen rafayel qiyu caleb sylus qiche xiayizhou mrlovequeenschoice mlqc shiningnikkigame lovenikkigame otomegames infinitynikki,work rafayel game loveanddeepspace credit xhs link httpxhslinkcomah3xthoetcr26 loveanddeepspace game otome xavier shenxinghui zayne lishen rafayel qiyu caleb sylus qiche xiayizhou mrlovequeenschoice mlqc shiningnikkigame lovenikkigame otomegames infinitynikki,NEGATIVE,0.9671795964241028
im done hbdzayne zayneloveanddeepspace zaynebirthdayevent fictionalhusband loveanddeepspace zayneedit loveanddeepspacegame loveanddeepspacefyp fyppp lishen,im done hbdzayne zayneloveanddeepspace zaynebirthdayevent fictionalhusband loveanddeepspace zayneedit loveanddeepspacegame loveanddeepspacefyp fyppp lishen,NEGATIVE,0.9412660002708435
song reminds ive ever performed dance cover wayv take back junior hs rm reak rafayel rafayeledit loveanddeepspace qiyu otomegame datingsim,song reminds ive ever performed dance cover wayv take back junior hs rm reak rafayel rafayeledit loveanddeepspace qiyu otomegame datingsim,POSITIVE,0.9847331643104553
sylus zayne loveanddeepspace sylus zaynesylusedit zaynedit fyp handsome touch,sylus zayne loveanddeepspace sylus zaynesylusedit zaynedit fyp handsome touch,POSITIVE,0.9886788725852966
pov get married zayne original pics rednote zayne lishen rei leeseoeon wedding lovestory xiaohongshu xhs rednote reup fyp trending xh tiktok viral edit fanmade,pov get married zayne original pics rednote zayne lishen rei leeseoeon wedding lovestory xiaohongshu xhs rednote reup fyp trending xh tiktok viral edit fanmade,NEGATIVE,0.9829490184783936
ooc,ooc,POSITIVE,0.983847439289093
correct way love mc sylus zayne loveanddeepspace funny cosplay,correct way love mc sylus zayne loveanddeepspace funny cosplay,POSITIVE,0.9991681575775146
husband appearedai loveanddeepspace cosplay fyp fyp sylus zayne rafayel,husband appearedai loveanddeepspace cosplay fyp fyp sylus zayne rafayel,POSITIVE,0.5171808004379272
ur happy ending cre xhs zayne lishen rei leeseoeon sylus qinche shin jinwoon wedding lovestory xiaohongshu xhs rednote reup fyp trending xh tiktok viral edit,ur happy ending cre xhs zayne lishen rei leeseoeon sylus qinche shin jinwoon wedding lovestory xiaohongshu xhs rednote reup fyp trending xh tiktok viral edit,NEGATIVE,0.8800453543663025
capcut fyp selflove glowup,capcut fyp selflove glowup,NEGATIVE,0.9771063923835754
zayne sassy doctor thrust loveanddeepspace zayne lishen zayneloveanddeepspace loveanddeepspacezayne otomegame alightmotion,zayne sassy doctor thrust loveanddeepspace zayne lishen zayneloveanddeepspace loveanddeepspacezayne otomegame alightmotion,NEGATIVE,0.8542298674583435
look got shy afterwards bilibiliworld zayne cosplay coser world bw cos loveanddeepspace cosplay bilibiliworld zayne cos bw otomegame hot fyp,look got shy afterwards bilibiliworld zayne cosplay coser world bw cos loveanddeepspace cosplay bilibiliworld zayne cos bw otomegame hot fyp,NEGATIVE,0.9777721166610718
saw us zayne zayneloveanddeepspace lishenloveanddeepspace lishen loveanddeepspace xybc fypviral,saw us zayne zayneloveanddeepspace lishenloveanddeepspace lishen loveanddeepspace xybc fypviral,NEGATIVE,0.9001185297966003
loveanddeepspace cos bilibiliworld2024 bw2024 bw zayne cos cosplay cosplayer,loveanddeepspace cos bilibiliworld2024 bw2024 bw zayne cos cosplay cosplayer,NEGATIVE,0.6728493571281433
